단어,발음,주요뜻,메모,암기여부,저장날짜
in cahoots,,한통속이 되어|꾸민,,미암기,2014-03-08 13:22:20
harper,hάːrpər,하프 연주자|장황하고 지루하게 같은 말을 하는 사람,,미암기,2014-03-08 13:20:37
what does that say about,,~은 어쩌고? ~은 어떻다는 거야?,"1)그럼 네 계획은 어쩌고? What does that say about your plan?
대체 그게 무슨 말이에요? What does that say about me?
",미암기,2014-03-08 13:16:58
clean the slate,,"백지로 돌리다, 기왕의 일은 없었던 것으로 하다","1)다시 한 번 처음부터 시작하면, 나는 알 수 있을 것이다. If I start off with a clean slate, then I'll know.

cf) wipe the slate clean
to start a new and better way of behaving, forgetting about any bad experiences in the past: 
인간관계를 새롭게 하면 예전에 잘못했던 것을 털어내고 다시 시작할 수 있는 계기가 되지.
A new relationship presents you with the opportunity to wipe the slate clean.
",미암기,2014-03-08 13:10:22
bric a brac,bríkəbrӕk,골동품|고물|오래된 기물류,,미암기,2014-03-08 12:48:14
be that as it may,,그것은 그렇다치고|어떻든|어쨌든,,미암기,2014-03-08 12:44:53
get back,,돌아가다|다시|복귀하다|연락하다|되찾다,"1)나는 올해 아빠한테 정말 그럴듯한 농담으로 복수하고 말 거야! I will get back at him this year with a really nice joke!
",미암기,2014-03-08 12:40:36
satin,sǽtn,수자직|공단의|부드러운,,미암기,2014-03-08 12:35:44
lingerie,lὰːnʒəréi,란제리|리넨 제품|속옷류,,미암기,2014-03-08 12:35:11
shell out,,피라미드 놀이의 일종|들이다|기부하다,,미암기,2014-03-08 08:50:49
lap dance,,랩 댄스,,미암기,2014-03-07 23:22:47
sourpuss,,심보가 비뚤어진 사람|음흉한 사람|흥을 깨는 사람,,미암기,2014-03-07 23:19:07
checkbook,tʃékbùk,수표장|수표책,,미암기,2014-03-07 23:18:38
rally,rǽli,시위하다|집회|모이다|회복하다|반등하다,"1)그들은 그의 깃발 아래 모여들었다. They rallied round his standard.
",미암기,2014-03-07 20:22:02
wag,wæg,흔들다,,미암기,2014-03-07 20:20:33
wedgy,wédʒi,쐐기 모양의|속옷이 위로 당겨져 엉덩이 사이에 꼭 끼어 있는 상황|쐐기 같은,,미암기,2014-03-07 20:16:21
yank,jæŋk,홱 잡아당기다|쫓아내다|Yankee,,미암기,2014-03-07 20:14:58
for keeps,,이기면 돌려주지 않기로 약조하고|진정으로|최종적으로,,미암기,2014-03-07 20:11:29
flashlight,flæˈʃlaiˌt,손전등|플래시,,미암기,2014-03-07 20:05:58
un-freaking-believable,,도저히 믿을 수 없는,,미암기,2014-03-07 20:03:47
twerp,twəːrp,시시한 놈|바보,"1)바보같은 이 놈을 우리 모임에 끼워주자. I want this twerp in the group.
",미암기,2014-03-07 19:49:48
I've got your back.,,(미·구어) 내가 도와[밀어]주겠소.,,미암기,2014-03-07 19:48:44
That ship has sailed,,(Originally US) That opportunity has already passed.,,미암기,2014-03-07 19:46:07
cut sb some slack,,(비격식) ~을 덜 몰아붙이다,"1)이봐요, 그 앨 그만 좀 몰아붙여요! 걔도 최선을 다하고 있는 거라구요! Hey, cut him some slack! He's doing his best!
",미암기,2014-03-07 19:41:54
cut sb some slack,,(비격식) ~을 덜 몰아붙이다,,미암기,2014-03-07 19:41:35
clammy,klǽmi,진득거리고 차가운|차갑고 습한|습한,"1)clammy hands 축축한 손  His skin felt cold and clammy.그의 피부는 차갑고 축축했다.
",미암기,2014-03-06 20:33:54
impendig doom,,임박한 파멸이나 종말,,미암기,2014-03-06 20:28:21
shut the hell up,,입다물고 있다.,,미암기,2014-03-06 20:23:50
talking stick,,"발언권 The talking stick, also called a speaker's staff, is an instrument of aboriginal democracy used by many tribes, especially those of indigenous peoples of the Northwest Coast of North America. The talking stick may be passed around a group or used only by leaders as a symbol of their authority and right to speak in public.",,미암기,2014-03-06 20:22:03
long winded,-wíndid,지루한|장황하게 이야기하는|말이 긴,,미암기,2014-03-06 20:18:05
hang back,,앞에 나서길 꺼리다|꺼리다|망설이다,"1)1. To stay behind as others move ahead. 
Hey, can you hang back for a minute? I have a question for you. I'm going to hang back for a bit and take some more pictures of the waterfall.
2. To wait to take action. Hang back on that project until I get these questions answered by the boss.
to lag back behind someone or something; to stay back from someone or something, perhaps in avoidance. Why are you hanging back from the rest of the group? Come on! Don't hang back!

1.  To keep a distance behind others; lag: Everyone surged forward, but I hung back, afraid I'd be crushed. I hung back behind the popular kids as I walked through the hall.

2.  To delay or hesitate on some task; hold off: You should hang back on filling out college applications until you get better test scores.
",미암기,2014-03-06 20:08:59
fixation,fikséiʃən,고착|정착|병적인 집착,,미암기,2014-03-06 20:06:08
weasel,wízl,족제비|회피하다,,미암기,2014-03-06 20:03:53
flappy,flǽpi,느슨한|야무지지 못한|축 늘어진,"1)그렇게 처져있는 살이 있어요, 팔뚝에. There's that flappy part.
이용자 참여 이렇게 헐렁한 걸 입으니까 바보같이 보여 I look stupid with these flappy things.
",미암기,2014-03-06 20:02:14
Get your ass back here,,돌아와,"1)여기서 썩 꺼져. Get your ass out of here.
",미암기,2014-03-06 00:08:15
every so often,,때때로|이따금|자주,,미암기,2014-03-06 00:04:29
back off,,철회하다|…에서 물러나다|차의 속도를 늦추다,"1)그만 둬! 나한테 고함지를 필요 없잖아. Back off! There's no need to yell at me. 
",미암기,2014-03-05 23:54:19
waltz,wɔːlts,왈츠,"1)(비격식) 당당하게 걷다[가다] 
나는 그가 자기 집이라도 되는 양 당당하게 이 집 안으로 걸어들어오는 것이 싫어. I don't like him waltzing into the house as if he owned it.
근데 앨런은 내 동생이라 그냥 (이 모임에) 들어온다고? Now Alan thinks he can waltz right in because he's my little brother?
",미암기,2014-03-04 20:22:24
go through the hoop,,시련을 겪다|고생하다,"1)= jump[be put] through the hoop(s) 
그는 어릴 때 고생하며 컸다. He went through the hoop while he was young.
",미암기,2014-03-04 20:17:29
low  n.,,최저치,"1)최저 기록의[으로] at a new[an all-time] low
새로 최저치에 이르다.hit[reach] a new low
내 인기가 이렇게까지 떨어지다니[인간적인 모멸감의 최저치 기록 갱신이군] Well, that's a new personal low.
",미암기,2014-03-04 18:53:29
foosball,fúːsbɔ̀ːl,탁상 축구 경기,,미암기,2014-03-04 18:44:24
bent out of shape,,취해 있는|비틀거리는|고주망태가 된,,미암기,2014-03-04 18:41:38
hindsight,haiˈndsaiˌt,지나고 나서|사후|뒤늦게,"1)나중에 생각해 보면 분명해 보이는 것이 그 당시에는 전혀 분명하지 않았다. What looks obvious in hindsight was not at all obvious at the time.
나중에 깨닫고 나서 비판을 하기는 쉽다. It's easy to criticize with the benefit of hindsight.
",미암기,2014-03-04 18:39:06
bookie,búki,경마 도박의 물주|사설 마권업자,,미암기,2014-03-04 18:35:56
at half mast,,반기의 위치에 내려|너무 짧아|매듭을 아래쪽으로 늘어 뜨려,,미암기,2014-03-04 18:29:40
Corn Pop,,켈로그에서 만든 옥수수 시리얼,,미암기,2014-03-04 18:27:54
per se,pəːr séi,그 자체로|본질적으로|스스로,,미암기,2014-03-04 18:25:01
drat,dræt,…을 저주하다|악담하다|저런,,미암기,2014-03-04 18:23:54
wise-ass,,[미·속어] 수재; 건방진[잘난 체하는] (녀석),,미암기,2014-03-04 18:17:15
camaraderie,kὰːmərάːdəri,우정|동지임|우애,,미암기,2014-03-04 18:12:52
pick one's nose,,코를 후비다,,미암기,2014-03-04 18:11:20
rudderless,rΛdərlis,키가 없는|지도자가 없는,"1)which do not have a clear aim or a strong leader to follow.
",미암기,2014-03-04 18:08:55
Beano,,가스찬데 먹는 소화제의 일종,,미암기,2014-03-04 17:58:32
good to go,,"순조롭게, 잘 나가서","1)일이 잘되었다.It was good to go.
",미암기,2014-03-04 17:57:22
single-malt,,(위스키가) 블렌드되지 않고 단일 몰트위스키로 된.,"1)single-malt Scotch
",미암기,2014-03-04 17:47:29
make oneself scarce,,떠나다|모습을 감추다|가 버리다,,미암기,2014-03-04 17:42:45
vig,vig,수수료|내기돈|구매자와 판매자가 거래하는 데 이용한 소프트웨어 등에 대한 소액의 수수료,,미암기,2014-03-04 17:42:12
it just wasn’t meant to be.,,그렇게 될 운명이 아니었나봐,"1)나름 최선을 다했는데 아무래도 안 해야 될 팔자인가봐. I tried my best, but it just wasn't meant to be.
그녀는 그 두 사람을 함께 맺어 주려고 온갖 애를 썼지만 그냥 그렇게 될 운명이 아니었던 모양이다. She did everything to get the two of them together, but I guess it just wasn’t meant to be.
",미암기,2014-03-04 11:20:33
nice and + 형,,"매우, 더할 나위 없이","1)날씨가 매우 서늘했다. The weather was nice and cool.
",미암기,2014-03-04 10:58:54
be up against,,직면하고 있다,"1)어떻게 해야 될지 함 보자. Let's see what we're up against here.
",미암기,2014-03-04 10:52:29
meet cute,,"A situation in a film, television series, etc. in which a potential or future romantic couple meet for the first time in a way that is considered adorable, entertaining, or amusing.","1)알아요 하지만 운명적인 만남이라는 게 이런거 아닐까요? I know, but how 'meet cute' is this? 
",미암기,2014-03-04 10:39:17
If I had a nickel for every time,,"When someone uses this expression, they mean that the specific thing happens a lot. It is an abbreviation of the statement 'If I had a nickel for every time that happened, I would be rich'","1)한두번 듣는 말이 아니에요. If I had a nickel for every time I heard that.
",미암기,2014-03-04 10:29:56
walk in on,,…과 마주치다,"1)(~가 사적인 일을 하고 있는 방에) 들어가다 Sorry, I didn't mean to walk in on you.
",미암기,2014-03-04 10:08:48
let on,,폭로하다|누설하다|자백하다,"1)보기보다 뭘 많이 아는거 같애 I guess he knows more than he lets on.
",미암기,2014-03-04 09:58:57
all the way,,처음부터 끝까지|도중에 내내|줄곧,,미암기,2014-03-04 09:17:33
pop,pap,팝|대중의|가요|튀어나오다|갑자기,,미암기,2014-03-04 00:10:41
popsicle,pάpsikl,아이스캔디,,미암기,2014-03-04 00:09:14
fella,félə,여러분|남자|사람|친구|젊은이,,미암기,2014-03-04 00:08:23
stay off your feet,,일하지 않고 그냥 쉬다,"1)통증이 심하면 며칠간 푹 쉬세요. Stay off your feet for several days when the pain is severe.
",미암기,2014-03-03 23:44:11
Supercuts,,미국의 저가 체인 미용실의 상호,,미암기,2014-03-03 23:36:03
snip,snip,싹둑 자르다|…을 싹둑 잘라내다|자투리,,미암기,2014-03-03 23:28:01
let it(her) rip,,"make a car, boat etc go as fast as it can","1)악셀을 밞아서 속도를 내! Put your foot on the gas and let her rip!
직선주로다. 속도를 내! There’s a straight road ahead. Let it rip!
",미암기,2014-03-03 23:12:54
shoehorn,ʃuˈhɔˌrn,구둣주걱|좁은 장소에 밀어넣다,,미암기,2014-03-02 22:31:11
drop trou,,바지를 내리다,"1)내가 실수로 그의 바지를 내렸지 뭐야. I accidentally dropped trout his pants.
",미암기,2014-03-02 22:29:04
up front with,,"솔직하게, 툭 터놓고","1)그는 친구들에게 아주 솔직하다  He's very up-front with his friends.
제이크한테 한 실수에 대해서는 너한테 솔직하게 인정해. Look, I'm being real up front with you about the mistakes I've made with Jake.
",미암기,2014-03-02 22:23:14
numbnuts,nΛmnΛts,바보|쓸모없는 사람,,미암기,2014-03-02 22:04:48
stampede,stæmpíːd,앞을 다투어 도망치기|쇄도|놀라서 우르르 도망치기,,미암기,2014-03-02 21:59:04
spook,spuːk,유령|도깨비|괴짜,,미암기,2014-03-02 21:58:06
crone,kroun,쪼그랑 할멈|늙은 암양|쭈그렁할멈,,미암기,2014-03-02 21:46:21
shovel,ʃΛvəl,삽|삽질하다,,미암기,2014-03-02 21:43:36
sucker,sΛkər,빠는 사람|젖먹이|속기 쉬운 사람,"1)여자들은 말만 잘하면(좋게 사과하면) 다 통해. Women are suckers for a good apology. 
",미암기,2014-03-02 21:36:51
chop,tʃɑp,자르다|패다|갈비|베다|헬기,"1)엄마는 항상 나에게 잔소리를 한다.My mom always busts her chops on me.       
제이크가 한 말 때문에 아직도 잔소리를 해? She's still busting your chops about what Jake said?
",미암기,2014-03-02 21:31:19
parrot,pǽrət,앵무새|되풀이하는 사람,,미암기,2014-03-02 18:47:21
spew,spjuː,토하다|쏟아내다|토해낸 것,,미암기,2014-03-02 18:43:42
drain the lizard,,오줌싸다,"1)오줌싸고 금방올게 Be right back. Gotta go drain the lizard.
",미암기,2014-03-02 17:02:11
compulsion,kəmpΛlʃən,강제|강박|충동,"1)If you've got someone to clean your house and do your shopping and you're getting action on a regular basis, the only reason you need a wife is if you have sick compulsion to give away half your stuff.
청소하고 쇼핑해줄 사람이 있고, 정기적으로 섹스할 수 있을 정도면 아내가 필요한 유일한 경우는 너의 절반을 허비해야 겠다는 강박관념이 있을 때나 그런거야.
",미암기,2014-03-02 16:42:21
huff,hʌf,불끈 화를 냄|…을 화나게 하다|성내다,,미암기,2014-03-02 16:27:20
harried,hǽrid,몹시 곤란을 겪는|어찌할 바를 모르는,,미암기,2014-03-02 16:26:03
attagirl,ǽtəgə̀ːrl,잘했어|훌륭해|좋아!,,미암기,2014-03-02 12:22:20
attaboy,ǽtəbɔ̀i,잘한다|좋아|장하다,,미암기,2014-03-02 12:21:23
wimp,wimp,겁쟁이|약한 상호 작용을 하는 조립자|윔프,"1)쟤 되게 소심해요. He's too much of a wimp.
",미암기,2014-03-02 12:19:24
pad,pæd,패드|받침대|덧대다|발바닥 살|집,"1)패딩처리가 두툼하게 되어 있어서 이걸로 사람을 때려도 다치지 않아요. It's heavily padded, it can't hurt anyone.
",미암기,2014-03-02 12:17:02
make a spectacle of oneself,,창피한 꼴을 보이다|사람들 앞에서 웃음거리가 될 짓을 하다,"1)나는 신에게 그녀 앞에서 창피한 꼴을 보이지 않도록 기도했다.I prayed to god that I don't make a spectacle of myself in front of her.
",미암기,2014-03-02 12:04:49
steamroller,stiˈmrouˌlər,스팀롤러|롤러가 달린 동력 차량|…을 스팀롤러로 고르게 하다,,미암기,2014-03-02 11:59:37
frigging,frígiŋ,빌어먹을|더럽게,,미암기,2014-03-02 11:58:53
off base,ɔ́(ː)fbéis,군사 기지 밖의|베이스를 떠나서|크게 잘못하여,,미암기,2014-03-02 11:56:40
rug rat,,유아|아기|개구쟁이,,미암기,2014-03-02 11:54:11
crap,kræp,쓰레기|형편없다|헛|똥|저런,,미암기,2014-03-02 11:45:46
set sb up,,to arrange for somebody to meet somebody so that they can have a romantic or sexual relationship,"1)그가 여동생을 내게 소개시켜줬다. He set me up with his sister.
당신이 나에게 누군가를 소개 시켜 준다면 좋을 거예요. So it would be nice if you could set me up with someone.
아. 얘기하고 싶지 않아요. 누나가 여자 소개팅 시켜줬어요.Oh, yeah. I don't want to talk about it. My sister set me up on a blind date.
",미암기,2014-03-02 11:35:58
chitchat,ʧiˈtʧæˌt,한담|잡담|공담,,미암기,2014-03-02 11:32:59
take a shine to,,…이 좋아지다|…에게 호감을 가지다,,미암기,2014-03-02 11:15:28
jackass,dʒǽkӕs,바보|멍청이|나귀의 수컷,,미암기,2014-03-02 11:10:26
twitchy,twíʧi,초조해하는|흠칫 놀라는|침착하지 못한,,미암기,2014-03-02 11:07:01
goofy,gúːfi,멍청한|바보 같은,,미암기,2014-03-02 11:00:28
reflection,riflékʃən,반성|반사|반영|심사숙고,"1)I just want you to know that seeing a therapist is no reflection on you. It's a reflection on your parents. 네가 심리치료를 받는 것은 네 잘못때문이 아니라 네 부모 잘못때문이란다. 
",미암기,2014-03-01 23:05:56
berserk,bərsə́ːrk-zə́ːrk,광포한|광포하게|사나운 전사,"1)내가 어디를 갔다 왔는지를 알게 된 그는 길길이 뛰었다.He went berserk when he found out where I'd been.
",미암기,2014-03-01 22:51:37
for once,,한 번만은|이번 한 번만은,,미암기,2014-03-01 22:47:59
moo-shu chicken,,"중국계 미국식 요리 중 하나로 계란, 야채 등으로 만든 요리 (라조기처럼 생겼음)",,미암기,2014-03-01 22:44:49
bite the big one,,1) very bad or fail  ex. This place really bites the big one!     2) die  ex. It's a surprise to see him bite the big one at the end of the movie.,,미암기,2014-03-01 22:30:22
whipped,wipt,매맞은|거품을 일게 한|휘저어 거품을 일게 한,"1)You're so whipped. 너 지칠대로 지쳤구나 (그래서 만사가 귀찮고 될 대로 되라는 식이지)
",미암기,2014-03-01 22:12:29
ankle deep,,발목에 닿을 만큼의|발목까지|발목까지 오는,,미암기,2014-03-01 21:51:25
loony bin,,정신 병원|정신 병동,,미암기,2014-03-01 21:48:22
dust bunny,,먼지 더미,,미암기,2014-03-01 21:32:23
blank slate,,slate : 석판(아이들이 학교에서 글씨 쓰는 데 이용하던 것) → blank slate : (비유적) 백지상태,"1)I love this kid. He's a comedy blank slate. 난 얘가 좋아. 코미디 백지상태쟎아(알고 있는 유머가 없으니 어떤 유치한 유머를 말해도 다 웃쟎아)
",미암기,2014-03-01 19:51:38
sell sb/sth out,,to not be loyal to somebody,"1)They discovered who had sold them out to the enemy.
",미암기,2014-03-01 17:57:53
mojo,móudʒou,마약|부적|힘,,미암기,2014-02-27 11:04:31
ride shotgun,,무장 호위로서 역마차 마부와 동승하다|보호하다|주의 깊게 돌보다,,미암기,2014-02-09 22:33:35
play into the hands of a person,,남에게 이롭게 되도록 행동하다|남의 계략에 걸려들다|남에게 좋도록 행동하다,"1)그렇게 하면 그 여자한테 놀아나는 게 되쟎아. That would be playing right into her hands.
",미암기,2014-01-26 11:42:16
heads up,hédzΛp,빈틈없는|날쌘|민첩한,"1)[미] 경계, 경고, 주의; 회합 
I'm sorry I didn't give you a heads up about the divorce papers. 이혼 서류에 대해 미리 알려주지 못해서 미안해. 
",미암기,2014-01-26 11:38:18
snoop,snuːp,기웃거리며 다니다|기웃거리며 다니는 사람|살금살금 돌아다니다,,미암기,2014-01-22 00:12:35
duff,dʌf,속이다|궁둥이|…을 진품으로 속여서 팔다,,미암기,2014-01-19 22:22:23
dude,djuːd,젠체하는 사람|놈|녀석,,미암기,2014-01-18 11:48:18
bust,bʌst,파산|흉상|체포하다|부수다|상반신,"1)I was endlessly getting busted in math class doodling behind the textbook.
수학 시간에 교과서 뒤에 낙서하다 걸려서 매번 혼나고 그랬어.

",미암기,2014-01-15 20:46:46
clutter,klΛtər,"혼란, 잡동사니, 어질러놓다, 소란을 피우다",,미암기,2013-12-29 23:19:22
huddle,hΛdl,모이다|몸을 움츠리다,,미암기,2013-12-29 13:11:14
get off lightly,,피하다,"1)A cat gets off lightly and runs away from dogs.
고양이는 개를 잘 피하고 도망친다.
Only two years in prison for stealing all that money? I think he got off very lightly. 그 돈을 다 훔치고도 고작 2년형이라고? 형량이 너무 적은 것 같다. be lucky and escape serious injury, punishment or trouble
",미암기,2013-12-28 13:48:43
carry on,"k'æri,an ",계속하다|기내 반입용의|수하물의,,미암기,2013-12-26 18:54:20
open ended,,제한이 없는|끝이 정하여지지 않은|대략적인,,미암기,2013-12-26 18:47:06
dupe,djuːp,속이다|앞잡이|잘 속는 사람,"1)1) n.잘 속는 사람, vt.속이다.
I don't want to be a dupe for anybody. 어느 누구에게도 사기를 당하고 싶지는 않아. Same way I've often felt about being duped by Scientology in many respects. 나 또한 마찬가지로 여러모로 싸이언톨러지한테 속았다는 느낌이 많이 들어.

2) n.사본(=duplicate)
Make a dupe of this before you send it off. 보내기 전에 복사를 하나 해 둬.
I've got a dupe in the files. 파일에 복사본 있어.
",미암기,2013-12-25 10:37:25
on the move,,매우 바빠|분주하여|자꾸만 이동하여,,미암기,2013-12-22 21:28:09
horse about,,야단법석을 떨다|설치다|빈둥거리다,"1)to play in a noisy and careless way that is likely to damage something or hurt somebody   ex)If you two don't stop horsing around you'll hurt yourselves. 
",미암기,2013-12-21 14:10:54
once over,,훑어보기|대충 보고 평가하기|대충의,,미암기,2013-12-21 13:56:01
charley horse,ʧάːrli,손발 근육의 통증과 경직|쥐|근육통,,미암기,2013-12-21 13:48:09
double take,,웃어 넘긴 다음에 뒤미쳐 깨닫고 놀란 표정을 짓는 연기|다시 보기,"1)I still do a double take when I see my reflection.
거울속의 내모습을 보면 아직도 깜짝깜짝 놀란다.
",미암기,2013-12-20 23:33:09
